Id,System,Class,Static,Static2,Sun,Planets,Moons,Effect,Region,Constelation
unknown,J105443,1, Z060,, Pink Small,7,44,, Unknown (R01), Unknown (C311)
unknown,J100744,1, Z060,, Red Giant,8,7, Cataclysmic Variable, Unknown (R01), Unknown (C311)
unknown,J225046,1, Z060,, Pink Small,7,54,, Unknown (R01), Unknown (C311)
unknown,J160837,1, Z060,, Orange radiant,8,51,, Unknown (R01), Unknown (C311)
unknown,J114700,1, Z060,, Pink,12,43,, Unknown (R01), Unknown (C311)
unknown,J134914,1, Z060,, Orange radiant,9,58,, Unknown (R01), Unknown (C311)
unknown,J102655,1, Z060,, Orange,9,42,, Unknown (R01), Unknown (C312)
unknown,J134312,1, Z060,, Orange,12,22, Magnetar, Unknown (R01), Unknown (C312)
unknown,J205818,1, Z060,, Pink,11,31,, Unknown (R01), Unknown (C312)
unknown,J113434,1, Z060,, Red Giant,10,16,, Unknown (R01), Unknown (C312)
unknown,J105711,1, Z060,, Yellow,9,35, Cataclysmic Variable, Unknown (R01), Unknown (C312)
unknown,J164218,1, Z060,, Pink,8,39,, Unknown (R01), Unknown (C312)
unknown,J154535,1, Z060,, Red Giant,5,50, Black Hole, Unknown (R01), Unknown (C312)
unknown,J111301,1, Z060,, Yellow Small,7,7, Cataclysmic Variable, Unknown (R01), Unknown (C312)
unknown,J135038,1, Z060,, Red Giant,6,54,, Unknown (R01), Unknown (C312)
unknown,J121358,1, Z060,, Yellow Small,4,5,, Unknown (R01), Unknown (C312)
unknown,J222914,1, Z060,, Red Giant,7,48, Pulsar, Unknown (R01), Unknown (C312)
unknown,J155429,1, Z060,, Orange Bright,6,17,, Unknown (R01), Unknown (C312)
unknown,J204640,1, Z060,, Orange radiant,12,74, Black Hole, Unknown (R01), Unknown (C313)
unknown,J162604,1, Z060,, Pink,10,51,, Unknown (R01), Unknown (C313)
unknown,J164807,1, Z060,, Orange radiant,8,29,, Unknown (R01), Unknown (C313)
unknown,J233317,1, Z060,, Yellow Small,5,53, Wolf-Rayet Star, Unknown (R01), Unknown (C313)
unknown,J155023,1, Z060,, White,9,46,, Unknown (R01), Unknown (C313)
unknown,J112628,1, Z060,, Orange Bright,8,53, Wolf-Rayet Star, Unknown (R01), Unknown (C313)
unknown,J153001,1, Z060,, Yellow,10,52,, Unknown (R01), Unknown (C313)
unknown,J143204,1, Z060,, Orange radiant,9,29,, Unknown (R01), Unknown (C313)
unknown,J101729,1, Z060,, Blue Bright,7,47,, Unknown (R01), Unknown (C313)
unknown,J221203,1, Z060,, Yellow Small,6,4, Black Hole, Unknown (R01), Unknown (C313)
unknown,J125428,1, J244,, Yellow,12,91,, Unknown (R01), Unknown (C314)
unknown,J131854,1, J244,, Red Giant,8,63, Black Hole, Unknown (R01), Unknown (C314)
unknown,J160534,1, J244,, Pink Small,10,56,, Unknown (R01), Unknown (C314)
