System,Region,Coordinates,SecurityRating,Stations,AsteroidBelts,IceBelts
Tanoo,Derelik,"-4.45135253464797,-8.85107925999806",0.858324069,2,4,0
Lashesih,Derelik,"-2.98563041297951,-10.3300968263126",0.751689147,0,4,0
Akpivem,Derelik,"-5.64828243833399,-9.11741411330753",0.846292352,0,12,0
Jark,Derelik,"-2.84035291069217,-9.36759263521789",0.817000531,0,10,0
Sasta,Derelik,"-3.1896707679918,-9.47821579619976",0.814336728,1,10,0
Zaid,Derelik,"-5.70739345298823,-8.47921511388562",0.864229153,0,6,0
Yuzier,Derelik,"-4.90403990377699,-9.03675090131102",0.90655551,3,10,0
Nirbhi,Derelik,"-5.52550579645263,-9.15761035363885",0.882115715,0,8,0
Sooma,Derelik,"-7.52260521388288,-8.40947311402152",0.577819482,1,6,0
Chidah,Derelik,"-7.97709316684619,-8.05888565201208",0.539052013,3,10,0
Shenela,Derelik,"-8.06598352028446,-6.95754633348552",0.456959355,0,6,0
Asabona,Derelik,"-9.63090751039115,-8.87870782997732",0.322884272,1,17,0
Onsooh,Derelik,"-8.66354266261767,-8.1778742628362",0.442816633,0,14,0
Shamahi,Derelik,"-8.79220108900039,-7.77507097384211",0.355242291,1,9,0
Sendaya,Derelik,"-9.51724082940452,-7.50358854752398",0.293932972,1,13,0
Nazhgete,Derelik,"-8.98137899485139,-8.36311552966969",0.391497056,0,18,0
Futzchag,Derelik,"-10.1139230377519,-6.40985839685295",0.17222856,2,9,2
Kazna,Derelik,"-9.67204101069244,-7.01424246912462",0.231262625,0,5,0
Podion,Derelik,"-10.1528995159068,-5.87098578016163",0.109704973,1,10,0
Lilmad,Derelik,"-10.816527393548,-7.28553803199239",0.160449193,0,5,1
Kuharah,Derelik,"-10.0531188490154,-7.43798108537478",0.189705283,0,10,1
Jayneleb,Derelik,"-10.5458726104477,-6.08394279541966",0.113839957,0,12,0
Fovihi,Derelik,"-5.11546338809836,-8.15533441122512",0.869394349,2,6,0
Kiereend,Derelik,"-4.78852334824982,-7.74790809111428",0.840834548,1,18,0
Rashy,Derelik,"-4.42919303109199,-7.41810587708783",0.803265994,1,6,0
Ordize,Derelik,"-4.16044513798551,-6.6874602332344",0.695564173,0,7,0
Psasa,Derelik,"-4.50812039936184,-7.21838857853403",0.749913289,0,2,0
Eshtah,Derelik,"-4.6482687207261,-7.1223584228662",0.768432631,0,19,0
Lachailes,Derelik,"-3.63463751329509,-6.14187009632582",0.573051227,0,8,0
Kasrasi,Derelik,"-4.15647245053966,-5.9932279484658",0.573075677,2,4,0
Mohas,Derelik,"-2.61741709307935,-8.09313683913977",0.681783438,1,8,0
Hasiari,Derelik,"-2.68005754625334,-8.78957102276095",0.798187617,1,2,0
Radima,Derelik,"-2.31092186396052,-8.66697094477018",0.753919952,1,10,0
Alkez,Derelik,"-2.24090232773571,-8.06056448031638",0.78212291,2,3,0
Nimambal,Derelik,"-3.04376977447003,-7.89729291083951",0.59405057,0,5,0
Yishinoon,Derelik,"-2.87808774009534,-6.9082798590932",0.424718182,0,17,1
Uplingur,Derelik,"-2.57304070269525,-6.6223420001743",0.422069315,3,10,0
Dooz,Derelik,"-7.70618751587521,-6.21272775923776",0.423728855,0,4,0
Bayuka,Derelik,"-7.32242737785755,-5.97793567658739",0.400722036,1,15,0
Uzistoon,Derelik,"-7.48380235690044,-5.78930842937134",0.390645601,3,9,0
Bairshir,Derelik,"-7.04504992476015,-5.95005366386288",0.364087747,1,3,0
Moh,Derelik,"-6.42457573257148,-6.26740591678738",0.472835004,0,6,1
Sari,Derelik,"-8.18461458923476,-6.27794236677204",0.379343122,0,18,0
Faspera,Derelik,"-10.7306739389601,-8.72757870618377",0.128258476,1,5,1
Jaymass,Derelik,"-9.96303963204919,-8.28879537533331",0.21631134,0,6,0
Mifrata,Derelik,"-9.45495718243563,-7.8639929616778",0.30380299,0,8,0
